Timestamp;SP_Y1;SP_Y2;Y1;Y2;U1;U2
13:27:02;0.5;0.3;0;0;0;0
13:27:04;0.5;0.3;0;0;0.501539;0.792633
13:27:06;0.5;0.3;0.3982;0.143725;0.799094;0.850448
13:27:08;0.5;0.3;0.799591;0.303131;0.887169;0.284226
13:27:09;0.5;0.3;0.89877;0.374937;0.833644;-0.347922
13:27:11;0.5;0.3;0.687334;0.347752;0.719503;-0.563344
13:27:13;0.5;0.3;0.39041;0.285348;0.591599;-0.297784
13:27:15;0.5;0.3;0.244093;0.258846;0.456535;0.144477
13:27:17;0.5;0.3;0.317471;0.290634;0.306622;0.402924
13:27:18;0.5;0.3;0.501186;0.348938;0.147895;0.340631
13:27:20;0.5;0.3;0.631383;0.384845;0.00688485;0.0912094
13:27:22;0.5;0.3;0.624498;0.373835;-0.0848459;-0.106466
13:27:24;0.5;0.3;0.519968;0.329539;-0.111607;-0.111937
13:27:26;0.5;0.3;0.421086;0.285854;-0.0823301;0.0355692
13:27:27;0.5;0.3;0.402419;0.268095;-0.0223854;0.189546
13:27:29;0.5;0.3;0.460786;0.277145;0.0427215;0.231542
13:27:31;0.5;0.3;0.535939;0.295243;0.0991256;0.153451
13:27:33;0.5;0.3;0.568938;0.303939;0.145267;0.0380116
13:27:35;0.5;0.3;0.545731;0.297969;0.184415;-0.0238477
13:27:36;0.5;0.3;0.496979;0.285771;0.217132;-0.00218386
13:27:38;0.5;0.3;0.464673;0.279523;0.239346;0.0644965
13:27:40;0.5;0.3;0.468292;0.284711;0.246103;0.114363
13:27:42;0.5;0.3;0.495808;0.297194;0.236466;0.113838
13:27:44;0.5;0.3;0.520284;0.30821;0.215163;0.0756942
13:27:45;0.5;0.3;0.523589;0.311738;0.190128;0.0382565
13:27:47;0.5;0.3;0.507862;0.308183;0.168273;0.0304902
13:27:49;0.5;0.3;0.489105;0.302509;0.152733;0.0524155
13:27:51;0.5;0.3;0.481948;0.299508;0.143049;0.081795
13:27:53;0.5;0.3;0.489042;0.300391;0.137401;0.0958696
13:27:54;0.5;0.3;0.501895;0.302894;0.134678;0.0883761
13:27:56;0.5;0.3;0.509807;0.30395;0.134993;0.0702674
13:27:58;0.5;0.3;0.508321;0.302306;0.13879;0.057489
13:28:00;0.5;0.3;0.501018;0.299131;0.145669;0.0579811
13:28:02;0.5;0.3;0.494904;0.296638;0.154057;0.0677585
13:28:03;0.5;0.3;0.494366;0.296214;0.161848;0.0768198
13:28:05;0.5;0.3;0.498525;0.297579;0.167481;0.0780909
13:28:07;0.5;0.3;0.503154;0.299358;0.170511;0.0720704
13:28:09;0.5;0.3;0.504641;0.30032;0.171463;0.0646744
13:28:11;0.5;0.3;0.502548;0.300208;0.171169;0.0615538
13:28:12;0.5;0.3;0.4992;0.299645;0.170186;0.0639417
13:28:14;0.5;0.3;0.497305;0.299418;0.1687;0.06876
13:28:16;0.5;0.3;0.497856;0.299824;0.16674;0.0719251
13:28:18;0.5;0.3;0.499809;0.300549;0.164474;0.0715912
13:28:20;0.5;0.3;0.501348;0.301044;0.162301;0.0689645
13:28:21;0.5;0.3;0.501417;0.300999;0.160687;0.0666533
13:28:23;0.5;0.3;0.500326;0.300528;0.15989;0.0663861
13:28:25;0.5;0.3;0.499187;0.300004;0.159895;0.0679084
13:28:27;0.5;0.3;0.498888;0.299736;0.160438;0.0696615
13:28:29;0.5;0.3;0.499482;0.29977;0.161213;0.0702493
13:28:30;0.5;0.3;0.500338;0.299929;0.162024;0.0694496
13:28:32;0.5;0.3;0.500776;0.300008;0.162803;0.0681199
13:28:34;0.5;0.3;0.500582;0.299933;0.163532;0.0672922
13:28:36;0.5;0.3;0.500056;0.299788;0.164197;0.0673912
13:28:38;0.5;0.3;0.499667;0.299706;0.16471;0.0680511
13:28:39;0.5;0.3;0.499665;0.299757;0.165013;0.0685982
13:28:41;0.5;0.3;0.499951;0.299903;0.165071;0.0686094
