Timestamp;SP_Y1;SP_Y2;Y1;Y2;U1;U2;Is_Event_Y1;Is_Event_Y2;BETA_Y1;BETA_Y2;HMAX_Y1;HMAX_Y2
1.00000761449337e-07;0.5;0.3;0.0;0.0;0.0;0.0;1;1;0.015;0.015;5;6
0.055191799998283386;0.5;0.3;0.3926;0.2818;-0.2956;0.0368;1;1;0.015;0.015;5;6
0.08259130001533777;0.5;0.3;0.62;0.321;0.5;0.0446;1;1;0.015;0.015;5;6
0.11002050002571195;0.5;0.3;0.4106;0.2801;0.0648;-0.0544;1;1;0.015;0.015;5;6
0.1373981999931857;0.5;0.3;0.5974;0.3214;0.3204;0.0898;1;1;0.015;0.015;5;6
0.19222000002628192;0.5;0.3;0.5464;0.3106;0.2271;0.1795;1;0;0.015;0.015;5;6
0.2196179000311531;0.5;0.3;0.4544;0.2878;0.0739;0.0076;1;0;0.015;0.015;5;6
0.24981110001681373;0.5;0.3;0.5261;0.3117;0.2626;0.1261;1;0;0.015;0.015;5;6
0.2774601000128314;0.5;0.3;0.5281;0.3137;-0.0789;-0.0254;1;0;0.015;0.015;5;6
0.3046047000098042;0.5;0.3;0.4461;0.2704;0.0388;-0.009;1;1;0.015;0.015;5;6
0.3321988999960013;0.5;0.3;0.5345;0.3122;0.2931;0.1004;1;0;0.015;0.015;5;6
0.3596265999949537;0.5;0.3;0.5406;0.3182;-0.0823;0.0425;1;1;0.015;0.015;5;6
0.3899460000102408;0.5;0.3;0.4747;0.2879;0.1406;0.0056;1;0;0.015;0.015;5;6
0.4174858999904245;0.5;0.3;0.469;0.2912;0.1958;0.1493;1;0;0.015;0.015;5;6
0.44466919999103993;0.5;0.3;0.5356;0.3155;0.2373;0.134;1;1;0.015;0.015;5;6
0.47233860002597794;0.5;0.3;0.5371;0.3167;-0.0805;-0.0875;1;1;0.015;0.015;5;6
0.5271486000274308;0.5;0.3;0.5477;0.3265;0.0559;0.0356;1;1;0.015;0.015;5;6
0.5850567000452429;0.5;0.3;0.5323;0.3174;0.2942;0.0936;1;1;0.015;0.015;5;6
0.6124268000130542;0.5;0.3;0.5347;0.3163;-0.1546;0.0017;1;1;0.015;0.015;5;6
0.6398023000219837;0.5;0.3;0.4472;0.2701;0.3381;0.0967;1;1;0.015;0.015;5;6
0.6946171000017785;0.5;0.3;0.5286;0.3153;-0.1502;-0.037;1;1;0.015;0.015;5;6
0.7220229000085965;0.5;0.3;0.4743;0.2882;0.421;0.132;1;0;0.015;0.015;5;6
0.7491772000212222;0.5;0.3;0.5438;0.3252;0.2669;0.1307;1;1;0.015;0.015;5;6
0.7768180000130087;0.5;0.3;0.474;0.2833;0.0663;0.0203;1;1;0.015;0.015;5;6
0.8044058000086807;0.5;0.3;0.4552;0.2813;0.4666;0.1473;1;1;0.015;0.015;5;6
